manufacturer,model_name,category,screen_size,screen,cpu,ram_gb,storage_gb,gpu,operating_system,operating_system_version,weight_kg,price,storage_device
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128,Intel Iris Plus Graphics 640,macOS,,1.37,1191.0,SSD
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,128,Intel HD Graphics 6000,macOS,,1.34,799.0,Flash Storage
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,No OS,,1.86,511.0,SSD
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512,AMD Radeon Pro 455,macOS,,1.83,1504.0,SSD
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256,Intel Iris Plus Graphics 650,macOS,,1.37,1604.0,SSD
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500,AMD Radeon R5,Windows,10,2.1,356.0,HDD
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256,Intel Iris Pro Graphics,Mac OS,X,2.04,1903.0,Flash Storage
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,256,Intel HD Graphics 6000,macOS,,1.34,1030.0,Flash Storage
Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce MX150,Windows,10,1.3,1329.0,SSD
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,1.6,685.0,SSD
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500,Intel HD Graphics 620,No OS,,1.86,350.0,HDD
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,,1.86,307.0,HDD
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256,AMD Radeon Pro 555,macOS,,1.83,1446.0,SSD
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Windows,10,2.2,444.0,SSD
Apple,MacBook 12,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256,Intel HD Graphics 615,macOS,,0.92,1123.0,SSD
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256,Intel Iris Plus Graphics 640,macOS,,1.37,1350.0,SSD
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R5 M430,Windows,10,2.2,662.0,SSD
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512,AMD Radeon Pro 560,macOS,,1.83,1694.0,SSD
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,500,Nvidia GeForce 940MX,No OS,,2.2,444.0,HDD
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128,Intel UHD Graphics 620,Windows,10,1.22,871.0,SSD
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32,Intel HD Graphics 400,Windows,10,0.98,171.0,Flash Storage
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128,Nvidia GeForce GTX 1050,Windows,10,2.5,888.0,SSD + HDD
HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500,AMD Radeon R2,No OS,,1.86,229.0,HDD
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,1.62,728.0,SSD
HP,15-BS101nv (i7-8550U/8/256/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel HD Graphics 620,Windows,10,1.91,586.0,SSD
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows,10,2.3,372.0,HDD
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128,Intel HD Graphics 6000,Mac OS,X,1.35,977.0,Flash Storage
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 530,Windows,10,2.2,711.0,SSD
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256,Intel UHD Graphics 620,Windows,10,1.88,1154.0,SSD
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,500,Nvidia GeForce 930MX,Windows,10,2.5,797.0,HDD
Chuwi,LapBook 15.6,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64,Intel HD Graphics,Windows,10,1.89,218.0,Flash Storage
Asus,E402WA-GA010T (E2-6110/2/32/W10),Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32,AMD Radeon R2,Windows,10,1.65,177.0,Flash Storage
HP,17-ak001nv (A6-9220/4/500/Radeon,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500,AMD Radeon 530,Windows,10,2.71,390.0,HDD
Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows,10,1.2,1662.0,SSD
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256,Intel HD Graphics 6000,Mac OS,X,1.35,887.0,Flash Storage
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64,Intel HD Graphics 500,Windows,10,1.44,221.0,Flash Storage
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,128,Intel HD Graphics 620,Linux,,2.1,326.0,HDD
Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128,AMD Radeon 530,Windows,10,2.8,871.0,SSD + HDD
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,Windows,10,1.86,435.0,HDD
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 930MX ,Windows,10,2.1,782.0,SSD
Asus,X540UA-DM186 (i3-6006U/4/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 620,Linux,,2.0,346.0,HDD
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows,10,2.65,1333.0,SSD + HDD
Asus,X542UQ-GO005 (i5-7200U/8/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,500,Nvidia GeForce 940MX,Linux,,2.3,465.0,HDD
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256,Intel UHD Graphics 620,Windows,10,2.2,606.0,SSD
