id,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium
1,380,60,7,2,0,95,1110,44,3,11,37,4,20,20
2,840,410,45,17,1.5,130,1580,62,2,18,46,6,20,20
3,1130,600,67,27,3,220,1920,63,3,18,70,10,20,50
4,750,280,31,10,0.5,155,1940,62,2,18,55,6,25,20
5,920,410,45,12,0.5,120,1980,81,4,18,46,6,20,20
6,540,250,28,10,1,80,950,46,3,9,25,10,2,15
7,300,100,12,5,0.5,40,680,33,2,7,15,10,2,10
8,510,210,24,4,0,65,1040,49,3,6,25,0,4,2
9,430,190,21,11,1,85,1040,35,2,7,25,20,4,15
10,770,400,45,21,2.5,175,1290,42,3,10,51,20,6,20
11,380,170,18,4,0,40,640,38,2,5,15,2,0,15
12,620,300,34,13,1.5,95,790,48,3,11,32,10,10,35
13,530,180,20,7,0,125,1150,48,3,11,42,10,20,35
14,700,300,34,9,0,85,1190,67,5,11,33,10,15,35
15,250,70,8,3,0,30,480,31,2,6,13,2,2,4
16,290,50,5,1.5,0,65,630,35,2,3,24,4,6,15
17,640,330,36,14,1.5,110,1260,40,3,10,37,6,15,15
18,580,190,21,8,0,135,1890,50,3,14,48,4,30,30
19,740,310,35,9,0.5,95,1780,69,5,14,39,4,20,290
20,350,130,15,3.5,0,40,600,40,2,5,15,2,2,4
21,380,160,18,8,1,70,840,34,2,7,23,10,2,10
22,480,200,22,7,0,80,870,45,2,12,25,2,2,6
23,580,300,33,12,1.5,95,920,41,4,7,29,8,15,15
24,520,160,18,6,0,115,1540,50,4,12,40,8,25,30
25,680,280,32,7,0,80,1430,69,6,12,31,8,15,30
26,570,200,23,5,0,60,1050,64,4,11,28,4,10,20
27,530,200,22,4,0,45,1000,59,3,13,25,6,10,20
28,530,240,27,13,1.5,100,1090,41,3,10,31,20,6,15
29,670,320,35,12,1.5,95,1010,56,4,13,32,20,15,30
30,560,180,20,5,0,115,1550,56,4,14,41,20,25,30
31,730,300,33,7,0,80,1430,75,5,13,32,20,20,30
32,690,340,37,14,1.5,110,1310,51,3,14,38,6,15,15
33,630,200,22,7,0,135,1930,61,4,18,48,4,30,25
34,800,320,36,9,0.5,95,1820,80,5,18,39,4,20,30
35,370,190,21,3.5,0,70,910,16,0,0,28,0,0,2
36,480,250,28,4.5,0,95,1290,21,0,1,38,0,0,2
37,760,390,44,8,0.5,145,1890,32,1,1,58,0,0,2
38,1210,630,70,12,1,240,3230,52,1,4,94,0,0,4
39,1510,790,88,15,1,295,3770,64,1,2,115,0,2,6
40,2430,1270,141,24,2,475,6080,103,2,3,186,0,2,8
41,180,100,11,2,0,30,340,11,1,0,10,0,2,0
42,270,140,16,2.5,0,45,510,16,1,0,15,0,2,0
43,440,240,27,4.5,0,75,840,26,2,0,24,0,4,2
44,890,480,53,9,0,145,1680,53,4,0,49,0,8,4
45,1770,960,107,18,0.5,295,3370,105,7,1,98,0,15,6
46,640,240,27,4,0,105,1780,63,2,35,39,4,15,4
47,960,360,40,6,0,160,2670,94,3,52,58,4,25,8
48,1600,600,66,10,0,265,4450,156,5,87,97,8,40,10
49,140,70,7,0.5,0,0,20,13,5,7,7,180,45,10
50,270,80,9,1,0,80,740,18,5,10,31,180,70,10
51,490,250,28,8,0,95,1120,28,4,4,33,180,60,15
52,190,110,12,5,0,40,660,9,3,3,14,180,50,15
53,320,120,14,6,0,45,1230,9,3,4,42,180,60,15
54,490,250,28,8,0,95,1120,28,4,4,33,180,60,15
55,220,90,10,3.5,0,15,500,26,6,9,8,180,40,20
56,350,100,12,4.5,0,110,1070,27,6,9,37,180,50,20
57,520,230,25,6,0,75,960,46,8,9,28,180,40,20
58,430,144,16,8,0,85,1120,37,3,7,37,30,40,25
59,310,54,6,2,0,55,820,36,3,7,29,25,40,10
60,270,99,11,2.5,0,45,800,26,1,4,16,NA,0,2
61,120,54,6,3,0,25,320,6,0,1,11,0,0,2
62,230,108,12,3,0,55,630,13,1,1,22,0,2,4
63,350,153,17,3,0,70,940,22,1,3,28,2,2,6
64,470,207,23,3,0,90,1250,29,1,4,37,2,4,8
65,500,207,23,7,0,75,1590,42,3,6,31,30,10,20
66,130,54,6,1.5,0,40,490,5,1,0,14,0,2,2
67,190,81,9,1.5,0,55,730,7,1,0,21,0,4,2
68,260,110,12,3,0,70,990,9,1,1,28,0,2,4
69,390,162,18,1.5,0,115,1460,14,2,1,41,0,8,4
70,970,414,46,2.5,0,285,3660,35,4,1,103,NA,20,10
71,490,170,19,3,0,80,1130,55,5,12,28,35,8,15
72,440,171,19,4,0,60,1350,40,2,5,28,2,4,15
73,70,18,2,1,0,35,220,1,0,0,13,0,6,0
74,110,27,3,1,0,50,330,2,0,0,19,0,8,0
75,140,36,4,1,0,70,440,2,0,0,25,0,10,2
76,210,45,5,1,0,100,670,3,0,1,38,0,20,2
77,430,108,12,4.5,0,85,1310,47,5,9,33,NA,25,25
78,450,117,13,6,0,75,1000,48,4,10,34,NA,50,25
79,500,162,18,0,0,95,1200,46,2,10,33,45,40,20
80,450,171,19,4,0,60,1620,41,1,5,29,4,2,15
81,540,225,25,8,0,80,1760,43,2,6,34,30,10,30
82,350,126,14,5,0,60,960,29,15,3,37,60,35,35
83,860,423,47,16,1,100,2520,70,NA,8,39,NA,NA,NA
84,720,279,31,15,0,120,1780,65,NA,7,48,NA,NA,NA
85,710,380,43,17,2,120,1120,44,2,7,35,10,25,30
86,640,330,37,14,2,100,930,42,2,6,31,4,2,20
87,340,150,17,6,1,35,640,34,1,6,15,2,4,6
88,410,220,24,9,0.5,55,730,32,1,4,20,7,1,15
89,380,200,23,6,1,40,470,32,1,4,15,2,4,6
90,450,250,28,9,1,60,800,33,1,4,19,6,4,15
91,600,350,38,16,2,110,1350,35,1,7,31,15,4,25
92,870,530,59,20,2,140,1350,45,2,7,39,10,8,30
93,640,330,37,14,2,100,790,43,2,7,31,6,8,20
94,650,340,37,14,2,100,860,46,2,10,32,8,10,20
95,740,430,48,15,2,110,760,44,2,7,31,6,8,20
96,710,380,43,17,2,120,1120,43,2,7,35,10,8,30
97,720,380,43,17,2,120,1190,47,2,10,35,15,10,30
98,800,480,54,18,2,130,1090,44,2,7,35,10,8,30
99,1280,830,92,36,4,260,1630,44,2,7,67,15,6,40
100,1120,680,76,32,4,235,1550,44,2,8,63,15,8,40
101,1130,680,76,32,4,235,1620,47,2,11,63,20,10,40
102,1220,780,87,34,4,245,1520,45,2,8,63,15,8,40
103,1120,680,76,32,4,235,1690,43,2,7,63,15,2,40
104,450,130,14,4,0,10,1410,67,5,11,15,6,8,25
105,450,130,14,4,0,10,1350,64,5,8,15,6,8,27
106,450,130,14,4,0,10,1300,64,5,8,15,6,8,25
107,610,270,30,7,0,110,1570,44,3,8,40,11,20,16
108,680,350,39,9,0,80,1120,53,4,7,31,11,7,16
109,430,180,20,4,0,80,940,33,2,6,28,6,8,10
110,570,300,33,5,0,45,1060,47,4,6,23,6,8,10
111,450,220,24,4,0,35,740,43,1,4,19,0,0,4
112,280,130,14,2.5,0,0,800,16,0,0,22,NA,NA,NA
113,470,220,24,4.5,0,0,1340,26,0,0,37,NA,NA,NA
114,740,350,39,8,0,90,1550,63,4,12,33,10,8,15
115,1000,550,61,12,0.5,125,4520,70,5,12,23,NA,NA,NA
116,1350,900,100,17,0,190,2180,69,4,10,23,NA,NA,NA
117,380,190,22,4,0,45,1250,27,3,1,18,0,0,2
118,560,290,32,6,1,65,1890,41,5,2,27,0,0,4
119,350,150,17,3,0,45,860,30,2,0,21,10,0,2
120,610,270,30,5,0,80,1500,51,3,0,36,17,0,3
121,970,410,46,8,1,55,2160,109,7,9,30,1,6,13
122,1080,460,51,9,1,75,2390,118,8,9,37,1,7,13
123,1190,510,57,10,1,90,2610,126,8,9,44,2,8,14
124,330,140,16,3,0,55,670,25,2,0,22,1,2,1
125,440,190,21,4,0,70,900,34,2,1,29,1,2,1
126,550,240,26,5,0,90,1120,42,3,1,36,1,3,2
127,730,350,39,8,0,90,1540,62,3,11,32,4,2,15
128,100,580,64,15,0.5,100,2070,65,4,12,39,15,8,30
129,370,160,18,7,0,40,1180,40,1,15,12,2,4,8
130,430,180,20,7,0,40,2310,49,1,17,14,4,6,10
131,410,230,26,11,0,65,1140,30,2,4,17,10,2,20
132,340,170,19,7,0,40,1250,30,3,4,13,2,10,8
133,320,160,18,7,0,40,870,27,1,3,11,0,2,8
134,500,240,26,10,0,50,1410,46,2,7,15,1,3,8
135,210,100,11,4,0,20,530,23,2,4,6,0,0,4
136,830,490,54,22,1,85,1940,54,3,9,30,15,4,30
137,320,160,18,7,0,35,910,27,1,2,11,0,0,4
138,330,100,11,4,0,30,920,40,2,5,18,2,0,8
139,400,90,10,3,0,30,1230,58,3,23,18,4,10,10
140,450,180,20,6,1,50,1280,45,2,9,23,2,2,15
141,630,290,32,11,1.5,100,2100,48,2,9,39,2,2,15
142,650,300,33,12,1,105,1460,51,2,15,38,NA,NA,NA
143,690,280,31,9,0,90,1990,66,3,16,38,NA,NA,NA
144,690,280,31,9,0,90,1990,66,3,16,38,NA,NA,NA
145,540,220,24,4.5,0,60,2110,53,2,6,29,NA,NA,NA
146,650,280,31,9,0,90,1750,56,2,9,39,NA,NA,NA
147,690,310,35,10,0,110,2000,53,1,7,41,NA,NA,NA
148,550,230,26,4.5,0,60,1480,52,2,6,29,NA,NA,NA
149,540,210,23,11,1,85,2500,50,2,3,35,2,8,15
150,360,120,14,5,0.5,50,970,37,2,5,23,0,0,6
151,510,210,24,9,1.5,95,1610,38,2,5,38,0,0,6
152,640,290,32,11,0.5,105,1950,46,3,4,42,NA,NA,NA
153,480,220,24,7,0,65,1610,37,2,9,30,15,10,15
154,710,390,44,13,0,75,1360,55,4,6,23,NA,NA,NA
155,740,350,39,14,2,130,2530,48,2,9,49,NA,NA,NA
156,750,330,36,17,2,150,3350,51,2,3,55,NA,NA,NA
157,610,270,30,12,2,130,2040,38,2,5,48,NA,NA,NA
158,300,80,9,4,0,35,1030,37,2,6,18,2,0,15
159,680,360,40,14,0.5,100,2270,49,3,7,32,NA,NA,NA
160,710,410,46,7,0.5,65,980,53,4,9,22,NA,NA,NA
161,840,400,44,6,0.5,75,1210,81,6,20,33,10,8,25
162,240,100,11,1.5,0,30,640,19,1,0,16,0,0,2
163,360,150,17,2.5,0,45,950,28,2,0,23,0,4,2
164,600,250,28,4,0,75,1590,47,3,0,39,0,8,2
165,680,280,31,8,0.5,80,2420,62,4,5,37,6,20,35
166,550,260,29,7,1,60,1290,48,3,5,24,10,15,10
167,710,260,28,7,0,65,1930,79,5,15,38,20,10,45
168,520,240,27,9,0,65,1640,39,4,6,30,20,10,35
169,800,310,34,10,0.5,80,2420,79,5,16,45,20,10,45
170,620,310,34,11,0.5,85,2130,39,4,6,37,20,10,30
171,740,320,35,13,1,125,2050,62,4,17,43,NA,NA,NA
172,590,250,59,10,1,75,1510,59,4,14,26,NA,NA,NA
173,600,310,35,12,1,110,1240,42,2,7,33,4,8,20
174,430,160,17,5,1,45,1060,45,3,11,23,10,10,8
175,650,320,36,15,1,115,1760,44,2,9,30,NA,NA,NA
176,1030,459,51,17,1,155,2940,83,5,19,62,NA,NA,NA
177,730,252,28,6,0,65,2140,80,6,16,41,NA,NA,NA
178,470,180,20,3.5,0,45,1520,48,3,5,25,10,15,10
179,980,495,55,14,0,85,2130,80,6,19,43,NA,NA,NA
180,290,120,13,2,0,20,860,31,2,2,12,NA,NA,NA
181,290,110,12,3.5,0,25,720,30,1,1,15,NA,NA,NA
182,220,80,9,3.5,0,30,890,21,1,1,14,NA,NA,NA
183,210,70,8,3,0,25,780,21,1,2,13,NA,NA,NA
184,240,90,11,4.5,0,30,670,21,1,1,14,NA,NA,NA
185,300,150,17,6,0,35,930,23,1,2,13,NA,NA,NA
186,240,90,11,4.5,0,30,670,21,1,1,14,NA,NA,NA
187,200,60,7,2.5,0,25,760,21,1,2,14,NA,NA,NA
188,70,45,5,2.5,0,15,100,4,1,2,5,35,10,10
189,430,220,24,8,0,65,1000,26,4,4,28,60,20,25
190,420,340,37,9,0,55,700,11,2,4,10,NA,NA,NA
191,230,120,13,7,0,55,870,8,2,5,22,60,20,25
192,720,480,53,15,0,85,1310,39,5,7,22,NA,NA,NA
193,1550,1134,126,47,8,805,1820,21,3,7,134,NA,NA,NA
194,1000,585,65,24,3,200,1320,48,2,8,56,NA,NA,NA
195,330,140,16,7,0,55,830,32,1,7,18,NA,NA,NA
196,290,120,14,6,0.5,40,720,28,1,7,12,NA,NA,NA
197,1040,630,48,28,2.5,220,1900,48,1,10,57,NA,NA,NA
198,730,351,39,9,0,90,1930,63,0,16,32,NA,NA,NA
199,1100,675,75,29,3,220,1850,51,NA,13,57,NA,NA,NA
200,300,130,14,6,0,45,710,28,1,6,16,NA,NA,NA
201,520,280,31,14,1,105,1180,33,1,8,31,NA,NA,NA
202,450,230,26,12,1,95,960,29,1,6,26,NA,NA,NA
203,360,160,18,8,0,70,520,28,1,6,22,NA,NA,NA
204,900,486,54,25,3,210,1740,50,2,11,56,NA,NA,NA
205,580,300,33,13,1.5,85,1030,45,2,9,26,NA,NA,NA
206,1220,720,80,28,3,335,2050,62,NA,15,NA,NA,NA,NA
207,260,90,10,4,0,35,490,28,1,6,13,NA,NA,NA
208,550,250,27,12,1.5,95,1140,48,2,10,30,NA,NA,NA
209,990,585,65,24,3,205,1550,46,2,7,55,NA,NA,NA
210,940,567,63,21,2.5,175,1380,45,NA,8,49,NA,NA,NA
211,310,110,13,4,0.5,25,450,38,1,9,9,NA,NA,NA
212,1250,738,82,31,3.5,230,2270,69,3,14,60,NA,NA,NA
213,730,387,43,16,1.5,125,1570,52,2,12,35,NA,NA,NA
214,970,549,61,24,3,205,1640,52,2,12,55,NA,NA,NA
215,1100,666,74,24,1,180,1620,59,NA,13,50,NA,NA,NA
216,770,432,48,16,2,95,1360,47,2,9,29,NA,NA,NA
217,900,510,57,19,2,140,1050,51,3,11,47,NA,NA,NA
218,990,580,65,24,2,160,1480,53,3,11,52,NA,NA,NA
219,660,360,40,12,1.5,90,980,49,2,11,28,NA,NA,NA
